#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
passcode (tech)									passcode	"/#passcode#/"	/ˈpɑːskəʊd/	n	A numerical or alphanumeric code used for access.	Please enter the passcode to connect to the network.	clave de acceso																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
put (someone) through									put (someone) through	/ˈpʰʊt | ˈsəmˌwən | ˈθɹu/	/pʊt ˈsʌmwʌn θruː/	phr v	To connect a phone call to another person or department.	If you hold, I’ll put you through to the Accounts department.	poner (a alguien) con																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
stream (play content)									stream	/ˈstɹim/	/striːm/	v	To play media content over the internet without downloading it.	You don’t need to download the video. You can just stream it.	emisión en continuo																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
switch off									switch off	/ˈswɪtʃ ˈɔf/	/swɪtʃ ɒf/	v	To turn off an electrical device.	The laptop switched off when it ran out of battery.	apagar																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
top up									top up	/ˈtʰɑp ˈəp/	/tɒp ʌp/	phr v	To add more credit or balance to an account or device.	I need to top up my mobile phone.	recargar																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
wi-fi									wi-fi	"/#wi-fi#/"	/ˈwaɪ faɪ/	n	Wireless internet connectivity.	You could get rid of a few cables if you had w i-fi .	wifi																																				Curso::1C1::File_6 Curso::1C1::Vocabulary-Bank::Phones-and-Technology Voc::Phones Voc::Technology
antivirus									antivirus	/ˌæntiˈvaɪɹəs/	/ˈæntivaɪrəs/	adj	A software program designed to detect and remove viruses from a computer.	I need to install a new antivirus program on my computer.	antivirus																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
autofocus									autofocus	"/#autofocus#/"	/ɔːtəʊˈfəʊkəs/	n	A camera feature that automatically adjusts the lens to focus on a subject.	I always use autofocus when I take photos.	enfoque automático																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
biannual									biannual	/baɪˈænjəwəl/	/baɪˈænjuəl/	adj	Occurring twice a year.	The committee has biannual meetings in October and March.	bianual																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
coexist									coexist	/ˌkoʊɪɡˈzɪst/	/kəʊɪgˈzɪst/	v	To exist together at the same time or in the same place.	Several different species now coexist peacefully side by side.	coexistir																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
demystify									demystify	/diˈmɪstəˌfaɪ/	/diːˈmɪstɪfaɪ/	v	To make something easier to understand by explaining it clearly.	Will you demystify the workings of this new program for me?	desentrañar																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
devalue									devalue	/diˈvælju/	/diːˈvæljuː/	v	To reduce the value or worth of something, especially currency.	The pound was devalued against the US dollar.	devaluarse																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
disagree									disagree	/ˌdɪsəˈɡɹi/	/dɪsəˈgriː/	v	To have a different opinion or perspective.	He thinks we should buy a new car. But I disagree .	no estar de acuerdo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
discontinue									discontinue	/ˌdɪskənˈtʰɪnju/	/dɪskənˈtɪnjuː/	v	To stop producing or offering a product or service.	The company has decided to discontinue the free gym membership.	suspender																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
disembark									disembark	/ˌdɪsəmˈbɑrk/	/dɪsɪmˈbɑːk/	v	To leave a vehicle, especially a ship or airplane, after arrival.	We had just disembarked from the boat and felt a bit dizzy.	desembarcar																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
dishonest									dishonest	/dɪsˈɑnəst/	/dɪsˈɒnɪst/	adj	Not truthful or trustworthy.	I don’t like him. I think he’s dishonest.	deshonesto																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
illegitimate									illegitimate	/ˌɪlɪˈdʒɪtəmət/	/ɪləˈdʒɪtəmət/	adj	Not authorized by law; improper or unlawful.	They were fired from their jobs for illegitimate reasons.	(por hacer algo) ilícito																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
illiterate									illiterate	/ɪˈlɪtə˞ɹət/	/ɪˈlɪtərət/	adj	Unable to read or write.	A large percentage of the rural population was illiterate in the 1800s.	analfabeto																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
illogical									illogical	/ɪˈlɑdʒɪkəl/	/ɪˈlɒdʒɪkl/	adj	Not based on sound reasoning or clear thinking.	I don’t think you are right. Your conclusion is illogical .	ilógico																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
ill-treated									ill-treated	/ˈɪlˈtɹitəd/	/ɪl ˈtriːtɪd/	adj	Treated badly or unfairly.	As a child, she was ill-treated by her stepmother.	maltratado																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
immobile									immobile	/ɪˈmoʊbəl/	/ɪˈməʊbaɪl/	adj	Unable to move or be moved.	He stood immobile by the window, watching us depart.	inmóvil																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
immoral									immoral	/ɪˈmɔrəl/	/ɪˈmɒrəl/	adj	Not conforming to accepted standards of morality.	Stealing is not only illegal, it is also immoral .	inmoral																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
impersonal									impersonal	/ɪmˈpʰɜ˞sənəl/	/ɪmˈpɜːsənl/	adj	Lacking human warmth or personal connection.	I don’t like big companies. They tend to be impersonal .	impersonal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
impractical									impractical	/ɪmˈpɹæktɪkəl/	/ɪmˈpræktɪkl/	adj	Not suitable for practical use or application.	It was an impractical idea and nobody thought it would work.	poco práctico																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
inappropriate									inappropriate	/ˌɪnəˈpɹoʊpɹiət/	/ɪnəˈprəʊpriət/	adj	Not suitable or proper in the circumstances.	Do you think colourful clothes are a bit inappropriate for a funeral?	inadecuado																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
incapable									incapable	/ɪnˈkʰeɪpəbəl/	/ɪnˈkeɪpəbl/	adj	Not able to do something.	My children are incapable of working by themselves.	incapaz																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
incoherent									incoherent	/ˌɪnkoˈhɪrənt/	/ɪnkəʊˈhɪərənt/	adj	Not expressed in a clear or logical manner.	His speech was incoherent and nobody understood it.	incoherente																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
incompetent									incompetent	/ɪnˈkʰɑmpətənt/	/ɪnˈkɒmpɪtənt/	adj	Lacking the necessary skills or ability to do something well.	I won’t work with him again. He’s completely incompetent.	incompetente																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
inhospitable									inhospitable	/ˌɪnhɑˈspɪtəbəl/	/ɪnhɒˈspɪtəbl/	adj	Harsh and unwelcoming, especially of an environment or place.	The Atacama Desert must be an inhospitable place to live.	inhóspito																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
intergovernmental									intergovernmental	/ˌɪntə˞ˌɡəvə˞nˈmɛntl̩/	/ɪntəgʌvənˈmentl/	adj	Occurring between two or more governments.	There will be an intergovernmental conference to look at climate change.	intergubernamental																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
irrational									irrational	/ɪˈɹæʃənəl/	/ɪˈræʃənl/	adj	Not based on reason or clear thinking.	Fear of spiders is pretty irrational .	irracional																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
irregular									irregular	/ɪˈɹɛɡjələ˞/	/ɪˈregjələ/	adj	Not following a consistent pattern or rule.	My attendance at the gym has been very irregular this term.	irregular																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
irrelevant									irrelevant	/ɪˈɹɛləvənt/	/ɪˈreləvənt/	adj	Not connected to or related to the subject at hand.	It is irrelevant if I believe your excuses or not.	irrelevante																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
irreplaceable									irreplaceable	/ˌɪrɪˈpleɪsəbəl/	/ɪrɪˈpleɪsəbl/	adj	Impossible to replace if lost or damaged.	These antiques are irreplaceable .	irremplazable																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
microorganism									microorganism	/ˌmaɪkɹoˈɔrɡəˌnɪzəm/	/maɪkrəʊˈɔːɡənɪzəm/	n	A microscopic living organism, such as bacteria or fungi.	Bacteria are microorganisms which often cause disease.	microorganismo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
misunderstand									misunderstand	/ˌmɪsˌəndə˞ˈstænd/	/mɪsʌndəˈstænd/	v	To fail to correctly grasp the meaning or intention of something.	Sorry, I misunderstood you. I thought you weren’t coming.	entender mal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
monosyllabic									monosyllabic	/ˌmɑnəsəˈlæbɪk/	/ˈmɒnəsɪləbl/	adj	Consisting of only one syllable.	A lot of common English verbs are monosyllabic.	monosilábico																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
multivitamins									multivitamins	/ˌməltiˈvaɪtəmənz/	/mʌltiˈvɪtəmɪnz/	n pl	A supplement containing multiple vitamins for health benefits.	The doctor told me to take multivitamins because I was feeling a bit weak.	multivitaminas																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
outgrow									outgrow	/ˌaʊtˈɡɹoʊ/	/aʊtˈgrəʊ/	v	To become too large or mature for something.	My daughter has outgrown most of her clothes.	quedarse pequeño (algo a alguien)																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
outnumber									outnumber	/ˌaʊtˈnəmbə˞/	/aʊtˈnʌmbə/	v	To be greater in number than something else.	The demonstrators outnumber the police.	superar en número																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
outpatient									outpatient	/ˈaʊtˌpeɪʃənt/	/ˈaʊtpeɪʃnt/	n	A patient who receives medical care without being admitted to a hospital.	I have to go to the hospital twice a week as an outpatient.	paciente externo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
outskirts									outskirts	/ˈaʊtˌskɜ˞ts/	/ˈaʊtskɜːts/	n pl	The outer areas of a town or city.	He lives on the outskirts of the city and gets a bus into the centre.	afueras																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
postgraduate									postgraduate	/ˌpoʊstˈɡɹædʒəwət/	/pəʊstˈgrædʒuət/	n	Relating to studies pursued after earning a first degree.	I’m doing a postgraduate course in literary translation.	posgrado																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
precondition									precondition	/ˌpɹikənˈdɪʃən/	/priːkənˈdɪʃn/	n	A necessary condition that must be met before something else can occur.	A ceasefire is an essential precondition for any negotiation.	prerrequisito																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
rebuild									rebuild	/ɹiˈbɪld/	/riːˈbɪld/	v	To construct again after damage or destruction.	The whole town was rebuilt after the earthquake.	reconstruir																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
substandard									substandard	/ˌsəbˈstændə˞d/	/sʌbˈstændəd/	adj	Below the acceptable level of quality or performance.	This work is totally substandard . It’s not acceptable.	poco satisfactorio																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
superhuman									superhuman	/ˌsupə˞ˈhjumən/	/suːpəˈhjuːmən/	adj	Having abilities beyond those of normal humans.	When she lifted him up, she seemed to have superhuman strength.	sobrehumana																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
unattractive									unattractive	/ˌənəˈtɹæktɪv/	/ʌnəˈtræktɪv/	adj	Not appealing or pleasant to look at.	What makes a voice sound unattractive to you?	poco atractivo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
understaffed									understaffed	/ˌəndə˞ˈstæft/	/ʌndəˈstɑːft/	adj	Having too few employees to operate effectively.	This restaurant is really understaffed . They clearly need to hire more waiters.	falto de personal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
undo									undo	/ˌənˈdu/	/ʌnˈduː/	v	To reverse or cancel an action or effect.	Why don’t you try to undo the damage?	deshacer																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
unhelpful									unhelpful	/ˌənˈhɛlpfəl/	/ʌnˈhelpfl/	adj	Not providing assistance or useful advice.	My children are unhelpful in the house and try to avoid doing any jobs.	(estar) poco dispuesto a ayudar																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
unofficial									unofficial	/ˌənəˈfɪʃəl/	/ʌnəˈfɪʃl/	adj	Not officially recognized or approved.	Unofficial estimates put the figure at two million.	extraoficial																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
upgrade									upgrade	/ˌəpˈɡɹeɪd/	/ʌpˈgreɪd/	v	To improve or enhance the quality or performance of something.	I was incredibly lucky on my flight to New York. I was upgraded to business class!	mejorar																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes
antifreeze									antifreeze	/ˈæntɪˌfɹiz/	/ˈæntifriːz/	n	A substance added to liquids to prevent freezing in cold temperatures.	"Always remember to put antifreeze o n the car when it&#x27;s very cold weather."	anticongelante																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
illegal									illegal	/ɪˈliɡəl/	/ɪˈliːɡl/	adj	Prohibited by law.	"It&#x27;s illegal to park on the road if it has yellow lines."	ilegal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
illegible									illegible	/ɪˈlɛdʒəbəl/	/ɪˈledʒəbl/	adj	Difficult or impossible to read.	I can’t read my doctor’s handwriting. It’s almost illegible .	ilegible																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
ill-equipped									ill-equipped	/ˈɪlɪˈkwɪpt/	/ɪlˈɪˈkwɪpt /	adj	Lacking the necessary tools, resources, or preparation.	The expedition failed because they were ill-equipped .	mal equipado																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
inability									inability	/ˌɪnəˈbɪləti/	/ˈɪnəbɪləti/	n	Lack of capacity or power to do something.	His inability to concentrate on anything really irritates me.	incapacidad																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
inconvenient									inconvenient	/ˌɪnkənˈvinjənt/	/ɪnkənˈviːniənt/	adj	Something that is causing difficulty or discomfort.	Having to take care of my sister’s dogs is terribly inconvenient.	molesto																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
microplastic									microplastic	"/#microplastic#/"	/ˈmaɪkrəʊplæstɪk/	n	Tiny plastic particles that pollute the environment.	7% of microplastic in the sea comes from paint used for marking roads.	microplásticos (pl.)																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
misjudge									misjudge	/ˌmɪsˈdʒədʒ/	/mɪsˈdʒʌdʒ/	v	To form an incorrect opinion or assessment of someone or something.	I completely misjudged my new colleague, but now I see I was wrong.	juzgar mal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
misspell									misspell	/ˌmɪsˈspɛl/	/mɪsˈspel/	v	To spell a word incorrectly.	"It&#x27;s easy to misspell words when you&#x27;re typing quickly."	escribir mal																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
outdoor									outdoor	/ˈaʊtˌdɔr/	/ˈaʊtdɔː/	adj	Located or happening outside.	The hotel has an outdoor swimming pool.	(de) exterior																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
outsell									outsell	/ˌaʊtˈsɛl/	/aʊtˈsel/	v	To sell more of a product than a competitor or another product.	Bottled water outsells all other soft drinks.	superar en ventas																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
overcharge									overcharge	/ˌoʊvə˞ˈtʃɑrdʒ/	/əʊvəˈtʃɑːdʒ/	v	To ask for more money than is reasonable or fair.	I’m not coming back to this restaurant. They have clearly overcharged us.	cobrar de más																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
overweight									overweight	/ˌoʊvə˞ˈweɪt/	/əʊvəˈweɪt/	adj	Weighing more than what is considered healthy or normal.	Being overweight leads to many health issues.	con sobrepeso																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
regrow									regrow	/ɹiˈɡɹoʊ/	/ˌriːˈɡrəʊ/	v	To grow again after being cut or lost.	Starfish can regrow a whole new body from a single arm.	regenerar																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
rewrite									rewrite	/ɹiˈɹaɪt/	/riːˈraɪt/	v	To write something again in a different way.	You should rewrite this paragraph. It’s unclear.	reescribir																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
submarine									submarine	/ˈsəbmə˞ˌɹin/	/sʌbməˈriːn/	n	A vessel designed for underwater travel.	Listening to the radio is virtually impossible on a submarine .	submarino																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
uncurl									uncurl	/ˌənˈkʰɜ˞l/	/ʌnˈkɜːl/	v	To straighten from a curled position.	Tea leaves uncurl when hot water is poured on them.	formar remolinos																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
undercooked									undercooked	/ˌəndə˞ˈkʰʊkt/	/ʌndəˈkʊkt/	adj	Not cooked enough.	Eating undercooked meat can make you very sick.	poco hecho																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
uphill									uphill	/ˈəpˈhɪl/	/ˈʌphɪl/	adj	Difficult or requiring great effort.	It’s going to be an uphill struggle to motivate the team after last week’s defeat.	arduo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Prefixes Curso::1C1::Vocabulary-Bank::Word-Formation::Prefixes
abstract	"<img src=""_arte_astrato-abstract.JPG"">"								abstract	/æbˈstɹækt/	/ˈæbstrækt/	adj	Existing in thought or as an idea but not having a physical form.	The painting was so abstract that I wasn't sure what it was, but my brother thought it was a vase.	abstracto																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
canvas	"<img src=""_canvas_art.JPG"">"								canvas	/ˈkʰænvəs/	/ˈkænvəs/	n	A strong fabric used as a surface for painting.	The artist stood, looking thoughtfully at the blank canvas.	lienzo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
drawing	"<img src=""Moblit and Hange Drawing Each Other.png"">"								drawing	/ˈdɹɔɪŋ/	/ˈdrɔːɪŋ/	n	"A picture made with pencils, pens, or other tools on paper. With ""D"""	He always does several drawings on paper before he starts painting.	dibujo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Painting-Drawing
figurative	"<img src=""_bad_figurative_art.JPG"">"								figurative	/ˈfɪɡjə˞ɹətɪv/	/ˈfɪɡərətɪv/	adj	Representing something in a symbolic or metaphorical way.	I find the realism and detail of figurative art fascinating.	figurativo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
frame (painting)	"<img src=""_quadro_cortiça.JPG""><img src=""disaster star butterfly painting.JPG"">"								frame	/ˈfɹeɪm/	/freɪm/	n	A structure that surrounds or supports something, such as a painting.	I chose the most beautiful gold frame for my painting.	marco																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
illustration	"<img src=""_illustration.JPG"">"								illustration	/ˌɪləˈstɹeɪʃən/	/ɪləˈstreɪʃn/	n	A visual representation used to explain or decorate a text.	The thing my children most love about books are the colourful illustrations.	ilustración																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
installation (art)	"<img src=""_installation.JPG"">"								installation	/ˌɪnstəˈleɪʃən/	/ɪnstəˈleɪʃn/	n	A work of art created in a specific space, often involving mixed media.	We saw an installation made entirely of shells at a modern art exhibition.	instalación																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
landscape (painting)	"<img src=""_landscape_painting.JPG"">"								landscape	/ˈlændˌskeɪp/	/ˈlændskeɪp/	n	A painting that depicts natural scenery.	A landscape is a painting of a view of the countryside.	paisaje																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art Voc::Painting-Drawing
monument	"<img src=""_monument_.JPG"">"								monument	/ˈmɑnjəmənt/	/ˈmɒnjumənt/	n	A structure built to commemorate an event or person.	Every city has a historical monument to celebrate its past.	monumento																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
painting	"<img src=""disaster star butterfly painting.JPG"">"								painting	/ˈpʰeɪntɪŋ/	/ˈpeɪntɪŋ/	n	A piece of art created using paint on a surface.	I could only afford a print of my favourite Van Gogh painting to put on my wall.	cuadro																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
portrait	"<img src=""_portrait.JPG"">"								portrait	/ˈpʰɔrtɹət/	/ˈpɔːtrət/	n	A painting or drawing of a person.	The Mona Lisa is one of the most famous portraits in art history.	retrato																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
poster (printed picture)	"<img src=""_en_posters.JPG"">"								poster	/ˈpʰoʊstə˞/	/ˈpəʊstə/	n	A large printed picture or advertisement.	There was a poster outside the gallery advertising the exhibition.	póster																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
sculpture	"<img src=""_escultora_.JPG"">"								sculpture	/ˈskəlptʃə˞/	/ˈskʌlptʃə/	n	A three-dimensional work of art made by carving or modeling.	He collects modern sculpture .	escultura																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
self-portrait									self-portrait	/ˌsɛlfˈpʰɔrtɹət/	/self ˈpɔːtrət/	n	An artistic representation of oneself.	As a painter, I’m quite tempted to do a self-portrait.	autorretrato																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art
statue	"<img src=""_Levi_statue.JPG"">"								statue	/ˈstæˌtʃu/	/ˈstætʃu/	n	A carved or cast figure of a person or animal.	In the town square there's a statue of a medieval king.	estatua																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art Voc::City
still life	"<img src=""_still-life.JPG"">"								still life	/ˈstɪl ˈlaɪf/	/stɪl laɪf/	n	A painting or drawing of inanimate objects.	She prefers landscapes to still life .	naturaleza muerta																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Art Voc::Art Voc::Painting-Drawing
black and white									black and white	/ˈblæk ənd ˈwaɪt/	/blæk ənd waɪt/	exp	Representing a situation in a simplistic, absolute manner.	My uncle sees everything in black and white . He’s not very subtle.	en blanco y negro																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms Voc::Colors
black market									black market	/ˈblæk ˈmɑrkət/	/blæk ˈmɑːkɪt/	n	An illegal or unofficial trading system.&nbsp;An illegal trade in goods or services.	I think he bought that painting on the black market.	mercado negro																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms My_Mess::Multi Voc::AOT::Underground Voc::Crime
grey area									grey area	/ˈɡɹeɪ ˈɛriə/	/greɪ ˈeəriə/	n	A situation that is unclear or not easily categorized.	Online copyright is still a bit of a grey area .	área poco definida																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms
out of the blue									out of the blue	/ˈaʊt əv ðə ˈblu/	/aʊt əv ðə bluː/	exp	Happening suddenly and unexpectedly.	We were talking about work when, out of the blue , she asked if I was married.	de repente																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms
red herring									red herring	/ˈɹɛd ˈhɛrɪŋ/	/red ˈherɪŋ/	n	A misleading clue meant to divert attention.	The letter was a red herring . It had nothing to do with the murder at all.	pista falsa																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms Voc::Crime
red tape									red tape	/ˈɹɛd ˈtʰeɪp/	/red teɪp/	n	Excessive bureaucracy or official procedures that cause delay.	We had to deal with so much red tape that we decided to cancel the tour.	papeleo																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms
white elephant									white elephant	/ˈwaɪt ˈɛləfənt/	/waɪt ˈelɪfənt/	n	Something that is expensive but has no useful purpose.	That sculpture is a real white elephant. We don’t know what to do with it.	engorro																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms
white lie									white lie	/ˈwaɪt ˈlaɪ/	/waɪt laɪ/	n	"A small lie told to avoid hurting someone&#x27;s feelings."	"Telling my friend that I liked her haircut was only a white lie – I didn&#x27;t want to upset her."	mentira piadosa																																				Curso::1C1::File_7 Curso::1C1::Vocabulary-Bank::Colour-Idioms
atmosphere (feeling)		atmosfera	a atmosfera	ɐ ɐtmuˈʃfeɾɐ	a atmosˈfeɾɐ	sf	O clima ou sensação num determinado lugar ou situação.		atmosphere	/ˈætməˌsfɪr/	/ˈætməsfɪə/	n	"The mood or feeling in a particular place or situation. With ""A"""	There was a lovely atmosphere at the local market.	ambiente						atmosphère						Atmosphäre						atmosfera						atmosfera												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
